speaker object count
 todd pete 0 
 todd todd 0 
 todd david 0 
 todd karen 0 
 todd charles 0 
 todd jo 1 
 todd senator 0 
 todd deangelo 0 
 todd val 0 
 todd cathy 0 
 todd danny 0

 david andy 9 
 david erin 1 
 david jim 23 
 david pam 3 
 david michael 68 
 david dwight 11 
 david ryan 2 
 david robert 0 
 david jan 6 
 david roy 0 
 david stanley 1 
 david kevin 0 
 david meredith 0 
 david angela 0 
 david oscar 1 
 david phyllis 0 
 david kelly 0 
 david toby 1 
 david creed 0 
 david darryl 0 
 david holly 1 
 david gabe 0 
 david nellie 0 
 david clark 0 
 david pete 0 
 david todd 0 
 david david 4 
 david karen 0 
 david charles 3 
 david jo 1 
 david senator 0 
 david deangelo 0 
 david val 0 
 david cathy 0 
 david danny 0

 karen andy 4 
 karen erin 0 
 karen jim 18 
 karen pam 4 
 karen michael 3 
 karen dwight 8 
 karen ryan 0 
 karen robert 0 
 karen jan 2 
 karen roy 3 
 karen stanley 2 
 karen kevin 1 
 karen meredith 0 
 karen angela 2 
 karen oscar 0 
 karen phyllis 1 
 karen kelly 0 
 karen toby 1 
 karen creed 0 
 karen darryl 0 
 karen holly 0 
 karen gabe 0 
 karen nellie 0 
 karen clark 0 
 karen pete 0 
 karen todd 0 
 karen david 1 
 karen karen 6 
 karen charles 0 
 karen jo 0 
 karen senator 0 
 karen deangelo 0 
 karen val 0 
 karen cathy 0 
 karen danny 0

 charles andy 0 
 charles erin 1 
 charles jim 19 
 charles pam 4 
 charles michael 29 
 charles dwight 8 
 charles ryan 0 
 charles robert 0 
 charles jan 0 
 charles roy 0 
 charles stanley 3 
 charles kevin 2 
 charles meredith 0 
 charles angela 2 
 charles oscar 2 
 charles phyllis 1 
 charles kelly 3 
 charles toby 1 
 charles creed 0 
 charles darryl 0 
 charles holly 0 
 charles gabe 0 
 charles nellie 0 
 charles clark 0 
 charles pete 0 
 charles todd 0 
 charles david 5 
 charles karen 0 
 charles charles 2 
 charles jo 0 
 charles senator 0 
 charles deangelo 0 
 charles val 0 
 charles cathy 0 
 charles danny 0

 jo andy 0 
 jo erin 0 
 jo jim 6 
 jo pam 0 
 jo michael 11 
 jo dwight 6 
 jo ryan 0 
 jo robert 0 
 jo jan 0 
 jo roy 0 
 jo stanley 0 
 jo kevin 0 
 jo meredith 0 
 jo angela 0 
 jo oscar 0 
 jo phyllis 0 
 jo kelly 1 
 jo toby 0 
 jo creed 0 
 jo darryl 3 
 jo holly 1 
 jo gabe 7 
 jo nellie 1 
 jo clark 0 
 jo pete 0 
 jo todd 0 
 jo david 1 
 jo karen 0 
 jo charles 0 
 jo jo 3 
 jo senator 0 
 jo deangelo 1 
 jo val 0 
 jo cathy 0 
 jo danny 0

 senator andy 0 
 senator erin 0 
 senator jim 0 
 senator pam 0 
 senator michael 0 
 senator dwight 0 
 senator ryan 0 
 senator robert 1 
 senator jan 0 
 senator roy 0 
 senator stanley 0 
 senator kevin 1 
 senator meredith 0 
 senator angela 2 
 senator oscar 4 
 senator phyllis 0 
 senator kelly 0 
 senator toby 0 
 senator creed 0 
 senator darryl 0 
 senator holly 0 
 senator gabe 0 
 senator nellie 0 
 senator clark 0 
 senator pete 0 
 senator todd 0 
 senator david 0 
 senator karen 0 
 senator charles 0 
 senator jo 0 
 senator senator 17 
 senator deangelo 0 
 senator val 0 
 senator cathy 0 
 senator danny 0

 deangelo andy 1 
 deangelo erin 1 
 deangelo jim 7 
 deangelo pam 1 
 deangelo michael 13 
 deangelo dwight 5 
 deangelo ryan 4 
 deangelo robert 0 
 deangelo jan 0 
 deangelo roy 0 
 deangelo stanley 1 
 deangelo kevin 4 
 deangelo meredith 0 
 deangelo angela 2 
